title,release_year,release_month,release_day,genres,rating_out_of_10,vote_count,runtime_minutes,box_office_usd,budget_usd,director,screenwriter,cast,production_company,content_rating,language,country,synopsis,wikipedia_url,poster_url
Role Play,2024,January,,Drama,8.6,124936,104,27545712,21363808,Thomas Vincent,Seth Owen,"Kaley Cuoco,David Oyelowo,Connie Nielsen,Bill Nighy",Amazon MGM Studios/The Picture Company/StudioCanal,PG-13,English,United States,"'Role Play' (2024) is a feature film directed by Thomas Vincent, starring Kaley Cuoco,David Oyelowo,Connie Nielsen,Bill Nighy, produced by Amazon MGM Studios/The Picture Company/StudioCanal.",https://en.wikipedia.org/wiki/Role_Play,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Night They Came Home,2024,January,,"Sci-Fi, Adventure",9.2,375676,164,31745292,24163528,Paul G. Volk,"John A. Russo,James O'Brien","Charlie Townsend,Danny Trejo,Robert Carradine, Weston Coppola Cage,Brian Austin Green",Lionsgate Home Entertainment,PG-13,English,United States,"'The Night They Came Home' (2024) is a feature film directed by Paul G. Volk, starring Charlie Townsend,Danny Trejo,Robert Carradine, Weston Coppola Cage,Brian Austin Green, produced by Lionsgate Home Entertainment.",https://en.wikipedia.org/wiki/The_Night_They_Came_Home_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Destroy All Neighbors,2024,January,,"Horror, Mystery, Thriller",7.8,359756,159,47464420,12990296,Josh Forbes,"Mike Benner, Jared Logan, Charles A. Pieper","Jonah Ray, Kiran Deol,Randee Heller,Pete Ploszek",RLJE Films/Shudder,R,English,United States,"'Destroy All Neighbors' (2024) is a feature film directed by Josh Forbes, starring Jonah Ray, Kiran Deol,Randee Heller,Pete Ploszek, produced by RLJE Films/Shudder.",https://en.wikipedia.org/wiki/Destroy_All_Neighbors,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hellhound,2024,January,,"Comedy, Drama",7.8,143045,120,27849015,21566010,Joshua Dixon,Niccolô de la Fère,"Louis Mandylor,Ron Smoorenburg,Vithaya Pansringarm",Saban Films/ Mbrella Films,PG-13,English,United States,"'Hellhound' (2024) is a feature film directed by Joshua Dixon, starring Louis Mandylor,Ron Smoorenburg,Vithaya Pansringarm, produced by Saban Films/ Mbrella Films.",https://en.wikipedia.org/wiki/Hellhound,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Wanted Man,2024,January,17,Drama,7.4,142249,116,27835683,21557122,,"Michael Worth, Hank Hughes","Dolph Lundgren, Dolph Lundgren,Kelsey Grammer, Christina Villa,Michael Paré,Roger Cross",Quiver Distribution/Millennium Media,PG-13,English,United States,"'Wanted Man' (2024) is a feature film directed by acclaimed filmmakers, starring Dolph Lundgren, Dolph Lundgren,Kelsey Grammer, Christina Villa,Michael Paré,Roger Cross, produced by Quiver Distribution/Millennium Media.",https://en.wikipedia.org/wiki/Wanted_Man_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
I.S.S.,2024,January,19,"Sci-Fi, Adventure",8.5,32799,91,26002533,20335022,Gabriela Cowperthwaite,Nick Shafir,"Ariana DeBose,Chris Messina,John Gallagher Jr.,Masha Mashkova,Costa Ronin,Pilou Asbæk",Bleecker Street/LD Entertainment,PG-13,English,United States,"'I.S.S.' (2024) is a feature film directed by Gabriela Cowperthwaite, starring Ariana DeBose,Chris Messina,John Gallagher Jr.,Masha Mashkova,Costa Ronin,Pilou Asbæk, produced by Bleecker Street/LD Entertainment.",https://en.wikipedia.org/wiki/I.S.S._(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Sunrise,2024,January,,"Sci-Fi, Adventure",9.0,106031,159,27229077,21152718,Andrew Baird,Ronan Blaney,"Alex Pettyfer,Guy Pearce,Crystal Yu,William Gao,Kurt Yaeger,Olwen Fouéré",Lionsgate/Grindstone Entertainment Group,PG-13,English,United States,"'Sunrise' (2024) is a feature film directed by Andrew Baird, starring Alex Pettyfer,Guy Pearce,Crystal Yu,William Gao,Kurt Yaeger,Olwen Fouéré, produced by Lionsgate/Grindstone Entertainment Group.",https://en.wikipedia.org/wiki/Sunrise_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Which Brings Me to You,2024,January,,"Action, Thriller",8.6,348214,101,31285338,23856892,Peter Hutchings,Keith Bunin,"Lucy Hale,Nat Wolff,Britne Oldford,Genevieve Angelson,Alexander Hodge,John Gallagher Jr.",Decal/Anonymous Content,PG-13,English,United States,"'Which Brings Me to You' (2024) is a feature film directed by Peter Hutchings, starring Lucy Hale,Nat Wolff,Britne Oldford,Genevieve Angelson,Alexander Hodge,John Gallagher Jr., produced by Decal/Anonymous Content.",https://en.wikipedia.org/wiki/Which_Brings_Me_to_You,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Cult Killer,2024,January,,"Crime, Thriller",6.6,166925,90,28248975,21832650,Jon Keeyes,Charles Burnley,"Alice Eve,Antonio Banderas,Paul Reid,Shelley Hennig",Saban Films,PG-13,English,United States,"'Cult Killer' (2024) is a feature film directed by Jon Keeyes, starring Alice Eve,Antonio Banderas,Paul Reid,Shelley Hennig, produced by Saban Films.",https://en.wikipedia.org/wiki/Cult_Killer,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Founders Day,2024,January,,"Sci-Fi, Adventure",7.2,187820,120,28598940,22065960,,Carson Bloomquist,"Erik Bloomquist, Devin Druid,Amy Hargreaves, Naomi Grace,Catherine Curtin,Emilia McCarthy, Olivia Nikkanen,William Russ",Dark Sky Films / Blue Finch Films / Mainframe Pictures,PG-13,English,United States,"'Founders Day' (2024) is a feature film directed by acclaimed filmmakers, starring Erik Bloomquist, Devin Druid,Amy Hargreaves, Naomi Grace,Catherine Curtin,Emilia McCarthy, Olivia Nikkanen,William Russ, produced by Dark Sky Films / Blue Finch Films / Mainframe Pictures.",https://en.wikipedia.org/wiki/Founders_Day_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Murder and Cocktails,2024,January,23,"Sci-Fi, Adventure",7.6,339657,133,31142019,23761346,Henry Barrial,Ron Jackson,"Jason Bernardo, Jessicah Neufeld,Colleen O'Shaughnessey, Ricardo Molina,Lucy Boryer, Brian Lally, Nerissa Tedesco,Caroline Amiguet,Jeff Nimoy",905 Productions / Vision Films,PG-13,English,United States,"'Murder and Cocktails' (2024) is a feature film directed by Henry Barrial, starring Jason Bernardo, Jessicah Neufeld,Colleen O'Shaughnessey, Ricardo Molina,Lucy Boryer, Brian Lally, Nerissa Tedesco,Caroline Amiguet,Jeff Nimoy, produced by 905 Productions / Vision Films.",https://en.wikipedia.org/wiki/Murder_and_Cocktails,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Beautiful Wedding,2024,January,24,"Sci-Fi, Adventure",8.8,289509,106,30302103,23201402,,Jamie McGuire,"Roger Kumble, Dylan Sprouse,Virginia Gardner,Libe Barer,Austin North, Neil Bishop,Alex Aiono, Micky Dartford, Jack Hesketh, Declan Laird, Trevor Van Uden",Voltage Pictures/Wattpad Studios,PG-13,English,United States,"'Beautiful Wedding' (2024) is a feature film directed by acclaimed filmmakers, starring Roger Kumble, Dylan Sprouse,Virginia Gardner,Libe Barer,Austin North, Neil Bishop,Alex Aiono, Micky Dartford, Jack Hesketh, Declan Laird, Trevor Van Uden, produced by Voltage Pictures/Wattpad Studios.",https://en.wikipedia.org/wiki/Beautiful_Wedding,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Underdoggs,2024,January,,"Drama, Thriller",8.1,229013,102,29288871,22525914,Charles Stone,"Danny Segal, Isaac Schamis","Snoop Dogg,Tika Sumpter,Mike Epps,Andrew Schulz,George Lopez",Amazon MGM Studios/Metro-Goldwyn-Mayer/Khalabo Ink Society,PG-13,English,United States,"'The Underdoggs' (2024) is a feature film directed by Charles Stone, starring Snoop Dogg,Tika Sumpter,Mike Epps,Andrew Schulz,George Lopez, produced by Amazon MGM Studios/Metro-Goldwyn-Mayer/Khalabo Ink Society.",https://en.wikipedia.org/wiki/The_Underdoggs,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Sometimes I Think About Dying,2024,January,,"Sci-Fi, Adventure",7.3,40101,139,33661767,25441178,Rachel Lambert,"Kevin Armento, Stefanie Abel Horowitz, Katy Wright-Mead","Daisy Ridley,Dave Merheje,Parvesh Cheena, Marcia DeBonis,Meg Stalter,Brittany O'Grady,Bree Elrod",Oscilloscope Laboratories,PG-13,English,United States,"'Sometimes I Think About Dying' (2024) is a feature film directed by Rachel Lambert, starring Daisy Ridley,Dave Merheje,Parvesh Cheena, Marcia DeBonis,Meg Stalter,Brittany O'Grady,Bree Elrod, produced by Oscilloscope Laboratories.",https://en.wikipedia.org/wiki/Sometimes_I_Think_About_Dying,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
American Star,2024,January,,"Sci-Fi, Adventure",9.2,204934,131,28885578,22257052,Gonzalo López-Gallego,Nacho Faerna,"Ian McShane,Nora Arnezeder,Fanny Ardant,Thomas Kretschmann,Adam Nagaitis",IFC Films,PG-13,English,United States,"'American Star' (2024) is a feature film directed by Gonzalo López-Gallego, starring Ian McShane,Nora Arnezeder,Fanny Ardant,Thomas Kretschmann,Adam Nagaitis, produced by IFC Films.",https://en.wikipedia.org/wiki/American_Star_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hundreds of Beavers,2024,January,,"Mystery, Thriller",7.4,319558,107,46342310,12741028,Mike Cheslik,"Mike Cheslik, Ryland Brickson Cole, Tews","Ryland Brickson Cole, Tews, Olivia Graves, Wes Tank, Doug Mancheski, Luis Rico",SRH,R,English,United States,"'Hundreds of Beavers' (2024) is a feature film directed by Mike Cheslik, starring Ryland Brickson Cole, Tews, Olivia Graves, Wes Tank, Doug Mancheski, Luis Rico, produced by SRH.",https://en.wikipedia.org/wiki/Hundreds_of_Beavers,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Argylle,2024,February,2,"Action, Adventure, Drama, History",6.5,101056,134,27145752,21097168,Matthew Vaughn,Jason Fuchs,"Bryce Dallas Howard,Sam Rockwell,Bryan Cranston,Catherine O'Hara,Henry Cavill,Sofia Boutella,Dua Lipa,Ariana DeBose,John Cena,Samuel L. Jackson",Universal Pictures/Apple Studios/Marv Studios,PG-13,English,United States,"'Argylle' (2024) is a feature film directed by Matthew Vaughn, starring Bryce Dallas Howard,Sam Rockwell,Bryan Cranston,Catherine O'Hara,Henry Cavill,Sofia Boutella,Dua Lipa,Ariana DeBose,John Cena,Samuel L. Jackson, produced by Universal Pictures/Apple Studios/Marv Studios.",https://en.wikipedia.org/wiki/Argylle,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Orion and the Dark,2024,February,,"Animation, Family, Adventure",8.3,281947,143,30175449,23116966,Sean Charmatz,Charlie Kaufman,"Jacob Tremblay,Paul Walter Hauser,Colin Hanks, Mia Akemi Brown,Ike Barinholtz,Nat Faxon,Golda Rosheuvel,Natasia Demetriou,Aparna Nancherla,Carla Gugino, Matt Dellapina,Angela Bassett",Netflix/DreamWorks Animation,PG-13,English,United States,"'Orion and the Dark' (2024) is a feature film directed by Sean Charmatz, starring Jacob Tremblay,Paul Walter Hauser,Colin Hanks, Mia Akemi Brown,Ike Barinholtz,Nat Faxon,Golda Rosheuvel,Natasia Demetriou,Aparna Nancherla,Carla Gugino, Matt Dellapina,Angela Bassett, produced by Netflix/DreamWorks Animation.",https://en.wikipedia.org/wiki/Orion_and_the_Dark,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Tiger's Apprentice,2024,February,,"Animation, Family, Adventure",7.4,365527,113,31575309,24050206,"Raman Hui, Paul Watling,Yong Duk Jhun","David Magee,Christopher Yost","Henry Golding,Brandon Soo Hoo,Lucy Liu,Sandra Oh,Michelle Yeoh",Paramount+/Paramount Animation/New Republic Pictures,PG-13,English,United States,"'The Tiger's Apprentice' (2024) is a feature film directed by Raman Hui, Paul Watling,Yong Duk Jhun, starring Henry Golding,Brandon Soo Hoo,Lucy Liu,Sandra Oh,Michelle Yeoh, produced by Paramount+/Paramount Animation/New Republic Pictures.",https://en.wikipedia.org/wiki/The_Tiger's_Apprentice_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
A Nashville Wish,2024,February,,"Sci-Fi, Adventure",6.0,251102,138,29658834,22772556,Demetrius Navarro,Ty DeMartino,"Maxfield Camp, Kaileigh Bullard, Alexis Gomez, Kevin Sizemore,Kourtney Hansen,Ryan O'Quinn, Kate Orsini, Caleb Shore, Craig Shumaker,T. Graham Brown,Waylon Payne,Lee Greenwood",Vision Films / Brentwood Avenue Entertainment / D Street Films,PG-13,English,United States,"'A Nashville Wish' (2024) is a feature film directed by Demetrius Navarro, starring Maxfield Camp, Kaileigh Bullard, Alexis Gomez, Kevin Sizemore,Kourtney Hansen,Ryan O'Quinn, Kate Orsini, Caleb Shore, Craig Shumaker,T. Graham Brown,Waylon Payne,Lee Greenwood, produced by Vision Films / Brentwood Avenue Entertainment / D Street Films.",https://en.wikipedia.org/wiki/A_Nashville_Wish,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Lisa Frankenstein,2024,February,9,"Comedy, Drama",6.9,292295,120,30348765,23232510,Zelda Williams,Diablo Cody,"Kathryn Newton,Cole Sprouse,Liza Soberano, Henry Eikenberry,Joe Chrest,Carla Gugino",Focus Features,PG-13,English,United States,"'Lisa Frankenstein' (2024) is a feature film directed by Zelda Williams, starring Kathryn Newton,Cole Sprouse,Liza Soberano, Henry Eikenberry,Joe Chrest,Carla Gugino, produced by Focus Features.",https://en.wikipedia.org/wiki/Lisa_Frankenstein,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Upgraded,2024,February,,"Sci-Fi, Adventure",9.1,119364,151,27452388,21301592,Carlson Young,"Christine Lenig, Justin Matthews, Luke Roberts, Karl Hall","Camila Mendes,Archie Renaux,Thomas Kretschmann,Grégory Montel,Aimee Carrero,Andrew Schulz,Rachel Matthews,Lena Olin,Marisa Tomei",Amazon MGM Studios,PG-13,English,United States,"'Upgraded' (2024) is a feature film directed by Carlson Young, starring Camila Mendes,Archie Renaux,Thomas Kretschmann,Grégory Montel,Aimee Carrero,Andrew Schulz,Rachel Matthews,Lena Olin,Marisa Tomei, produced by Amazon MGM Studios.",https://en.wikipedia.org/wiki/Upgraded_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Air Force One Down,2024,February,,"Sci-Fi, Adventure",6.0,270803,162,29988801,22992534,James Bamford,Steven Paul,"Katherine McNamara,Ian Bohen,Dascha Polanco,Anthony Michael Hall",Republic Pictures,PG-13,English,United States,"'Air Force One Down' (2024) is a feature film directed by James Bamford, starring Katherine McNamara,Ian Bohen,Dascha Polanco,Anthony Michael Hall, produced by Republic Pictures.",https://en.wikipedia.org/wiki/Air_Force_One_Down,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Lola,2024,February,,"Sci-Fi, Adventure",6.7,35784,106,26052528,20368352,"Nicola Peltz,Bria Vinaite",,"Nicola Peltz,Virginia Madsen,Richie Merritt,Trevor Long,Raven Goodwin, Luke David Blumm",Vertical Entertainment,PG-13,English,United States,"'Lola' (2024) is a feature film directed by Nicola Peltz,Bria Vinaite, starring Nicola Peltz,Virginia Madsen,Richie Merritt,Trevor Long,Raven Goodwin, Luke David Blumm, produced by Vertical Entertainment.",https://en.wikipedia.org/wiki/Lola_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Bob Marley: One Love,2024,February,14,"Sci-Fi, Adventure",6.5,304633,107,30555411,23370274,,"Zach Baylin,Frank E. Flowers,Terence Winter","Reinaldo Marcus Green, Kingsley Ben-Adir,Lashana Lynch,James Norton",Paramount Pictures/Plan B Entertainment/Tuff Gong Pictures,PG-13,English,United States,"'Bob Marley: One Love' (2024) is a feature film directed by acclaimed filmmakers, starring Reinaldo Marcus Green, Kingsley Ben-Adir,Lashana Lynch,James Norton, produced by Paramount Pictures/Plan B Entertainment/Tuff Gong Pictures.",https://en.wikipedia.org/wiki/Bob_Marley:_One_Love,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Madame Web,2024,February,,"Action, Sci-Fi, Superhero",7.9,136677,163,27742359,21494906,,Claire Parker,"S. J. Clarkson, Dakota Johnson,Sydney Sweeney,Celeste O'Connor,Isabela Merced,Tahar Rahim,Mike Epps,Emma Roberts,Adam Scott",Columbia Pictures/Marvel Entertainment/Di Bonaventura Pictures,PG-13,English,United States,"'Madame Web' (2024) is a feature film directed by acclaimed filmmakers, starring S. J. Clarkson, Dakota Johnson,Sydney Sweeney,Celeste O'Connor,Isabela Merced,Tahar Rahim,Mike Epps,Emma Roberts,Adam Scott, produced by Columbia Pictures/Marvel Entertainment/Di Bonaventura Pictures.",https://en.wikipedia.org/wiki/Madame_Web_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Players,2024,February,,"Adventure, Drama",8.1,104240,150,27199080,21132720,Trish Sie,Whit Anderson,"Gina Rodriguez,Damon Wayans Jr.,Tom Ellis,Liza Koshy,Joel Courtney,Augustus Prew",Netflix,PG-13,English,United States,"'Players' (2024) is a feature film directed by Trish Sie, starring Gina Rodriguez,Damon Wayans Jr.,Tom Ellis,Liza Koshy,Joel Courtney,Augustus Prew, produced by Netflix.",https://en.wikipedia.org/wiki/Players_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
What About Love,2024,February,,"Action, Adventure, Drama, History",6.6,232595,120,29348865,22565910,,Douglas Day Stewart,"Klaus Menzel, Sharon Stone,Andy García,Iain Glen,José Coronado,Maia Morgenstern",XWS / Quality Films / Accident Films,PG-13,English,United States,"'What About Love' (2024) is a feature film directed by acclaimed filmmakers, starring Klaus Menzel, Sharon Stone,Andy García,Iain Glen,José Coronado,Maia Morgenstern, produced by XWS / Quality Films / Accident Films.",https://en.wikipedia.org/wiki/What_About_Love_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Adam the First,2024,February,,"Sci-Fi, Adventure",6.0,211700,90,28998900,22332600,Irving Franco,,"Oakes Fegley,David Duchovny,T.R. Knight,Larry Pine,Billy Slaughter, Jason Dowies, Eric Hanson",Electric Entertainment,PG-13,English,United States,"'Adam the First' (2024) is a feature film directed by Irving Franco, starring Oakes Fegley,David Duchovny,T.R. Knight,Larry Pine,Billy Slaughter, Jason Dowies, Eric Hanson, produced by Electric Entertainment.",https://en.wikipedia.org/wiki/Adam_the_First,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Stranger in the Woods,2024,February,,Comedy,8.5,354582,133,31391994,23927996,Adam Newacheck,Holly Kenney,"Holly Kenney, Brendin Brown, Paris Nicole, Radek Antczak, Teddy Spencer",Red Hound Films / Wonk,PG-13,English,United States,"'Stranger in the Woods' (2024) is a feature film directed by Adam Newacheck, starring Holly Kenney, Brendin Brown, Paris Nicole, Radek Antczak, Teddy Spencer, produced by Red Hound Films / Wonk.",https://en.wikipedia.org/wiki/Stranger_in_the_Woods,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
